Date,Open,High,Low,Close,Gain,% Gain
1/21/2011,1283.63,1291.21,1282.07,1283.35,-0.28,-0.0002
1/24/2011,1283.29,1291.93,1282.47,1290.84,7.55,0.0059
1/25/2011,1288.17,1291.26,1281.07,1291.18,3.01,0.0023
1/26/2011,1291.97,1299.74,1291.97,1296.63,4.66,0.0036
1/27/2011,1297.51,1301.29,1294.41,1299.54,2.03,0.0016
1/28/2011,1299.63,1302.67,1275.10,1276.34,-23.29,-0.0179
1/31/2011,1276.50,1287.17,1276.50,1286.12,9.62,0.0075
2/1/2011,1289.14,1308.86,1289.14,1307.59,18.45,0.0143
2/2/2011,1305.91,1307.61,1302.62,1304.03,-1.88,-0.0014
2/3/2011,1302.77,1308.60,1294.83,1307.10,4.33,0.0033
2/4/2011,1307.01,1311.00,1301.67,1310.87,3.86,0.0030
2/7/2011,1311.85,1322.85,1311.85,1319.05,7.20,0.0055
2/8/2011,1318.76,1324.87,1316.03,1324.57,5.81,0.0044
2/9/2011,1322.48,1324.54,1314.89,1320.88,-1.60,-0.0012
2/10/2011,1318.13,1322.78,1311.74,1321.87,3.74,0.0028
2/11/2011,1318.66,1330.79,1316.08,1329.15,10.49,0.0080
2/14/2011,1328.73,1332.96,1326.90,1332.32,3.59,0.0027
2/15/2011,1330.43,1330.43,1324.61,1328.01,-2.42,-0.0018
2/16/2011,1329.51,1337.61,1329.51,1336.32,6.81,0.0051
2/17/2011,1334.37,1341.50,1331.00,1340.43,6.06,0.0045
2/18/2011,1340.38,1344.07,1338.12,1343.01,2.63,0.0020
2/22/2011,1338.91,1338.91,1312.33,1315.44,-23.47,-0.0175
2/23/2011,1315.44,1317.91,1299.55,1307.40,-8.04,-0.0061
2/24/2011,1307.09,1310.91,1294.26,1306.10,-0.99,-0.0008
2/25/2011,1307.34,1320.61,1307.34,1319.88,12.54,0.0096
2/28/2011,1321.61,1329.38,1320.55,1327.22,5.61,0.0042
3/1/2011,1328.64,1332.09,1306.14,1306.33,-22.31,-0.0168
3/2/2011,1305.47,1314.19,1302.58,1308.44,2.97,0.0023
3/3/2011,1312.37,1332.28,1312.37,1330.97,18.60,0.0142
3/4/2011,1330.73,1331.08,1312.59,1321.15,-9.58,-0.0072
3/7/2011,1322.72,1327.68,1303.99,1310.13,-12.59,-0.0095
3/8/2011,1311.05,1325.74,1306.86,1321.82,10.77,0.0082
3/9/2011,1319.92,1323.21,1312.27,1320.02,0.10,0.0001
3/10/2011,1315.72,1315.72,1294.21,1295.11,-20.61,-0.0157
3/11/2011,1293.43,1308.35,1291.99,1304.28,10.85,0.0084
3/14/2011,1301.19,1301.19,1286.37,1296.39,-4.80,-0.0037
3/15/2011,1288.46,1288.46,1261.12,1281.87,-6.59,-0.0051
3/16/2011,1279.46,1280.91,1249.05,1256.88,-22.58,-0.0176
3/17/2011,1261.61,1278.88,1261.61,1273.72,12.11,0.0096
3/18/2011,1276.71,1288.88,1276.18,1279.21,2.50,0.0020
3/21/2011,1281.65,1300.58,1281.65,1298.38,16.73,0.0131
3/22/2011,1298.29,1299.35,1292.70,1293.77,-4.52,-0.0035
3/23/2011,1292.19,1300.51,1284.05,1297.54,5.35,0.0041
3/24/2011,1300.61,1311.34,1297.74,1309.66,9.05,0.0070
3/25/2011,1311.80,1319.18,1310.15,1313.80,2.00,0.0015
3/28/2011,1315.45,1319.74,1310.19,1310.19,-5.26,-0.0040
3/29/2011,1309.37,1319.45,1305.26,1319.44,10.07,0.0077
3/30/2011,1321.89,1331.74,1321.89,1328.26,6.37,0.0048
3/31/2011,1327.44,1329.77,1325.03,1325.83,-1.61,-0.0012
4/1/2011,1329.48,1337.85,1328.89,1332.41,2.93,0.0022
4/4/2011,1333.56,1336.74,1329.10,1332.87,-0.69,-0.0005
4/5/2011,1332.03,1338.21,1330.03,1332.63,0.60,0.0005
4/6/2011,1335.94,1339.38,1331.09,1335.54,-0.40,-0.0003
4/7/2011,1334.82,1338.80,1326.56,1333.51,-1.31,-0.0010
4/8/2011,1336.16,1339.46,1322.94,1328.17,-7.99,-0.0060
4/11/2011,1329.01,1333.77,1321.06,1324.46,-4.55,-0.0034
4/12/2011,1321.96,1321.96,1309.51,1314.16,-7.80,-0.0059
4/13/2011,1314.03,1321.35,1309.19,1314.41,0.38,0.0003
4/14/2011,1311.13,1316.79,1302.42,1314.52,3.39,0.0026
4/15/2011,1314.54,1322.88,1313.68,1319.68,5.14,0.0039
4/18/2011,1313.35,1313.35,1294.70,1305.14,-8.21,-0.0063
4/19/2011,1305.99,1312.70,1303.97,1312.62,6.63,0.0051
4/20/2011,1319.12,1332.66,1319.12,1330.36,11.24,0.0085
4/21/2011,1333.23,1337.49,1332.83,1337.38,4.15,0.0031
4/25/2011,1337.14,1337.55,1331.47,1335.25,-1.89,-0.0014
4/26/2011,1336.75,1349.55,1336.75,1347.24,10.49,0.0078
4/27/2011,1348.43,1357.49,1344.25,1355.66,7.23,0.0054
4/28/2011,1353.86,1361.71,1353.60,1360.48,6.62,0.0049
4/29/2011,1360.14,1364.56,1358.69,1363.61,3.47,0.0026
5/2/2011,1365.21,1370.58,1358.59,1361.22,-3.99,-0.0029
5/3/2011,1359.76,1360.84,1349.52,1356.62,-3.14,-0.0023
5/4/2011,1355.90,1355.90,1341.50,1347.32,-8.58,-0.0063
5/5/2011,1344.16,1348.00,1329.17,1335.10,-9.06,-0.0067
5/6/2011,1340.24,1354.36,1335.58,1340.20,-0.04,0.0000
5/9/2011,1340.20,1349.44,1338.64,1346.29,6.09,0.0045
5/10/2011,1348.34,1359.44,1348.34,1357.16,8.82,0.0065
5/11/2011,1354.51,1354.51,1336.36,1342.08,-12.43,-0.0092
5/12/2011,1339.39,1351.05,1332.03,1348.65,9.26,0.0069
5/13/2011,1348.69,1350.47,1333.36,1337.77,-10.92,-0.0081
5/16/2011,1334.77,1343.33,1327.32,1329.47,-5.30,-0.0040
5/17/2011,1326.10,1330.42,1318.51,1328.98,2.88,0.0022
5/18/2011,1328.54,1341.82,1326.59,1340.68,12.14,0.0091
5/19/2011,1342.40,1346.82,1336.36,1343.60,1.20,0.0009
5/20/2011,1342.00,1342.00,1330.67,1333.27,-8.73,-0.0065
5/23/2011,1333.07,1333.07,1312.88,1317.37,-15.70,-0.0118
5/24/2011,1317.70,1323.72,1313.87,1316.28,-1.42,-0.0011
5/25/2011,1316.36,1325.86,1311.80,1320.47,4.11,0.0031
5/26/2011,1320.64,1328.51,1314.41,1325.69,5.05,0.0038
5/27/2011,1325.69,1334.62,1325.69,1331.10,5.41,0.0041
5/31/2011,1331.10,1345.20,1331.10,1345.20,14.10,0.0106
6/1/2011,1345.20,1345.20,1313.71,1314.55,-30.65,-0.0228
6/2/2011,1314.55,1318.03,1305.61,1312.94,-1.61,-0.0012
6/3/2011,1312.94,1312.94,1297.90,1300.16,-12.78,-0.0097
6/6/2011,1300.26,1300.26,1284.72,1286.17,-14.09,-0.0108
6/7/2011,1286.31,1296.22,1284.74,1284.94,-1.37,-0.0011
6/8/2011,1284.63,1287.04,1277.42,1279.56,-5.07,-0.0039
6/9/2011,1279.63,1294.54,1279.63,1289.00,9.37,0.0073
6/10/2011,1288.60,1288.60,1268.28,1270.98,-17.62,-0.0137
6/13/2011,1271.31,1277.04,1265.64,1271.83,0.52,0.0004
6/14/2011,1272.22,1292.50,1272.22,1287.87,15.65,0.0123
6/15/2011,1287.87,1287.87,1261.90,1265.42,-22.45,-0.0174
6/16/2011,1265.53,1274.11,1258.07,1267.64,2.11,0.0017
6/17/2011,1268.58,1279.82,1267.40,1271.50,2.92,0.0023
6/20/2011,1271.50,1280.42,1267.56,1278.36,6.86,0.0054
6/21/2011,1278.40,1297.62,1278.40,1295.52,17.12,0.0134
6/22/2011,1295.48,1298.61,1286.79,1287.14,-8.34,-0.0064
6/23/2011,1286.60,1286.60,1262.87,1283.50,-3.10,-0.0024
6/24/2011,1283.04,1283.93,1267.24,1268.45,-14.59,-0.0114
6/27/2011,1268.44,1284.91,1267.53,1280.10,11.66,0.0092
6/28/2011,1280.21,1296.80,1280.21,1296.67,16.46,0.0129
6/29/2011,1296.85,1309.21,1296.85,1307.41,10.56,0.0081
6/30/2011,1307.64,1321.97,1307.64,1320.64,13.00,0.0099
7/1/2011,1320.64,1341.01,1318.18,1339.67,19.03,0.0144
7/5/2011,1339.59,1340.89,1334.30,1337.88,-1.71,-0.0013
7/6/2011,1337.56,1340.94,1330.92,1339.22,1.66,0.0012
7/7/2011,1339.62,1356.48,1339.62,1353.22,13.60,0.0102
7/8/2011,1352.39,1352.39,1333.71,1343.80,-8.59,-0.0064
7/11/2011,1343.31,1343.31,1316.42,1319.49,-23.82,-0.0177
7/12/2011,1319.61,1327.17,1313.33,1313.64,-5.97,-0.0045
7/13/2011,1314.45,1331.48,1314.45,1317.72,3.27,0.0025
7/14/2011,1317.74,1326.88,1306.51,1308.87,-8.87,-0.0067
7/15/2011,1308.87,1317.70,1307.52,1316.14,7.27,0.0056
7/18/2011,1315.94,1315.94,1295.92,1305.44,-10.50,-0.0080
7/19/2011,1307.07,1328.14,1307.07,1326.73,19.66,0.0150
7/20/2011,1328.66,1330.43,1323.65,1325.84,-2.82,-0.0021
7/21/2011,1325.65,1347.00,1325.65,1343.80,18.15,0.0137
7/22/2011,1343.80,1346.10,1336.95,1345.02,1.22,0.0009
7/25/2011,1344.32,1344.32,1331.09,1337.43,-6.89,-0.0051
7/26/2011,1337.39,1338.51,1329.59,1331.94,-5.45,-0.0041
7/27/2011,1331.91,1331.91,1303.49,1304.89,-27.02,-0.0203
